"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"1B/OF","Ben Paulsen",3000,"Col@Mil 07:20PM ET",3.333,"Col"
"SS","Alen Hanson",3000,"Hou@Pit 07:05PM ET",1.667,"Pit"
"3B","Colin Moran",3000,"Hou@Pit 07:05PM ET",2.000,"Hou"
"3B","Matt Duffy",3000,"Bos@TB 07:10PM ET",6.321,"TB"
"OF","Nate McLouth",2900,"Was@Bal 07:05PM ET",0,"Was"
"C","Jose Lobaton",2900,"Was@Bal 07:05PM ET",4.444,"Was"
"C","Martin Maldonado",2900,"Col@Mil 07:20PM ET",4.729,"Mil"
"3B","Reid Brignac",2900,"Atl@Ari 09:40PM ET",2.308,"Atl"
"OF","Colby Rasmus",2900,"Hou@Pit 07:05PM ET",6.233,"Hou"
"2B/3B","Adam Rosales",2900,"ChC@SD 10:10PM ET",4.488,"SD"
"1B/3B","Marwin Gonzalez",2900,"Hou@Pit 07:05PM ET",6.028,"Hou"
"OF","Steven Souza Jr.",2900,"Bos@TB 07:10PM ET",6.729,"TB"
"C","Stephen Vogt",2900,"Cle@Oak 10:05PM ET",6.180,"Oak"
"C","Jordan Pacheco",2900,"Atl@Ari 09:40PM ET",1.097,"Atl"
"3B","Ryan Flaherty",2900,"Was@Bal 07:05PM ET",3.790,"Bal"
"OF","Jaff Decker",2900,"Bos@TB 07:10PM ET",1.800,"TB"
"SS","Jordy Mercer",2900,"Hou@Pit 07:05PM ET",6.060,"Pit"
"OF","Jake Marisnick",2900,"Hou@Pit 07:05PM ET",3.889,"Hou"
"OF","Brock Holt",2900,"Bos@TB 07:10PM ET",6.014,"Bos"
"OF","Matt den Dekker",2900,"Was@Bal 07:05PM ET",2.947,"Was"
"OF","Brian Goodwin",2900,"Was@Bal 07:05PM ET",2.250,"Was"
"C","Dustin Garneau",2900,"Col@Mil 07:20PM ET",4.895,"Col"
"OF","Corey Dickerson",2900,"Bos@TB 07:10PM ET",6.083,"TB"
"C","Mike Zunino",2900,"NYY@Sea 10:10PM ET",8.154,"Sea"
"OF","Ben Gamel",2900,"NYY@Sea 10:10PM ET",1.167,"NYY"
"2B/SS","Daniel Castro",2900,"Atl@Ari 09:40PM ET",2.535,"Atl"
"2B","Wilmer Difo",2900,"Was@Bal 07:05PM ET",4.133,"Was"
